"bugID";"sd";"cl";"pd";"co";"rp";"os";"bs";"rs";"pr";"bsr"
"555901";"Encoding of AFM file should be UTF-8";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"normal"
"555902";"Cannot unreference a viewpoint";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"normal"
"555903";"Provide tooling to create afm resource";"Polarsys";"Kitalpha";"AF and VP";"PC";"Linux";"RESOLVED";"FIXED";"P3";"enhancement"
"555904";"Fix behavior with in memory resources";"Polarsys";"Kitalpha";"AF and VP";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"555905";"Add robustness to unreference action";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"normal"
"555906";"Version is not (always) updated while referencing a viewpoint";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"normal"
"555907";"Add robustness to viewpoint version checking";"Polarsys";"Kitalpha";"AF and VP";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"555908";"NPE in ViewpointMetadata.getResource";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"major"
"555909";"Unreference Viewpoint action works only if a aird resource is present and opened";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"critical"
"555910";"Improve & fix label in ViewpointManagerView";"Polarsys";"Kitalpha";"AF and VP";"PC";"Linux";"RESOLVED";"FIXED";"P3";"enhancement"
"555911";"Viewpoint (lifecycle) send a trace after many manipulation of some projects";"Polarsys";"Kitalpha";"AF and VP";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"555912";"[Viewpoint] Activity Explorer integration";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"normal"
"555913";"Set UTF-8 encoding at metadata (.afm) resource creation";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"VERIFIED";"FIXED";"P3";"enhancement"
"555914";"ViewpointManagerView: Remove unwanted actions";"Polarsys";"Kitalpha";"AF and VP";"PC";"Other";"RESOLVED";"FIXED";"P3";"minor"
"555915";"fix rcptt tests";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"normal"
"555916";"missing icon in ViewpointManagerView menu";"Polarsys";"Kitalpha";"AF and VP";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"555917";"[Viewpoint][Conf] Add specification of vp visibility and vp activable state";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"555918";"[Vpdiagram] Complete Edge generation in diagram extension specification";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"minor"
"555919";"Enhance metadata creation extension point";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"555920";"ViewpointManagerView: fix table layout";"Polarsys";"Kitalpha";"AF and VP";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"555921";"Improve viewpoint editor: hide default models";"Polarsys";"Kitalpha";"AF and VP";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"555922";"fix labels in viewpointManagerView";"Polarsys";"Kitalpha";"AF and VP";"PC";"Linux";"RESOLVED";"FIXED";"P3";"minor"
"555923";"ViewpointManagerView: ""Show View"" action doesn't work anymore";"Polarsys";"Kitalpha";"AF and VP";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"555924";"Improvements for afm resource initialization";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"555925";"Overriden viewpoint properties are not taken into account";"Polarsys";"Kitalpha";"AF and VP";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"555926";"Performance issues calling getAvailableViewpoints";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"normal"
"555927";"Add service implementation to execute rules";"Polarsys";"Kitalpha";"AF and VP";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"555928";"Add rcptt tests";"Polarsys";"Kitalpha";"AF and VP";"PC";"Linux";"RESOLVED";"FIXED";"P3";"enhancement"
"555929";"[Component Sample] Missing icons in wizard";"Polarsys";"Kitalpha";"AF and VP";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"555932";"[Component Sample] improve diagram contribution from QA viewpoint";"Polarsys";"Kitalpha";"AF and VP";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"555933";"[Component Sample] Add services to QA viewpoint";"Polarsys";"Kitalpha";"AF and VP";"PC";"Linux";"RESOLVED";"FIXED";"P3";"enhancement"
"555934";"Service cannot be executed from viewpoint view";"Polarsys";"Kitalpha";"AF and VP";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"555935";"add tests on properties/rules/services usages";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"555936";"Potential NPE on getInstance(EObject) method calls";"Polarsys";"Kitalpha";"AF and VP";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"555937";"add tests for metadata component";"Polarsys";"Kitalpha";"AF and VP";"PC";"Linux";"RESOLVED";"FIXED";"P3";"enhancement"
"555938";"Update metadata metamodel";"Polarsys";"Kitalpha";"AF and VP";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"555940";"Fix metadata resource lookup strategy";"Polarsys";"Kitalpha";"AF and VP";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"555941";"Update metadata verification";"Polarsys";"Kitalpha";"AF and VP";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"555942";"Update helper methods";"Polarsys";"Kitalpha";"AF and VP";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"555943";"Improve metadata management";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"normal"
"555944";"Improve labels for metadata objects";"Polarsys";"Kitalpha";"AF and VP";"PC";"Linux";"RESOLVED";"FIXED";"P3";"enhancement"
"555945";"Generated editor gets dirty on opening.";"Polarsys";"Kitalpha";"AF and VP";"PC";"Linux";"RESOLVED";"FIXED";"P3";"enhancement"
"555946";"[Example] Update component sample";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"555947";"Add helper class to manage libraries";"Polarsys";"Kitalpha";"AF and VP";"PC";"Linux";"RESOLVED";"FIXED";"P3";"enhancement"
"555948";"Increase scope for the listener which keeps viewpoints in sync";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"normal"
"555949";"Add the capacity to specify predicate on viewpoints";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"555950";"Fix support for libraries";"Polarsys";"Kitalpha";"AF and VP";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"555951";"Generate and package viewpoint doesn't work with version";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"555952";"[vpdsl] NPE when preparing Properties view without parent";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"normal"
"555953";"Improve integration between Viewpointmanager View and detachment";"Polarsys";"Kitalpha";"AF and VP";"PC";"Linux";"RESOLVED";"FIXED";"P3";"enhancement"
"555954";"Add command to handle metadata";"Polarsys";"Kitalpha";"AF and VP";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"555956";"[VPDSL - UI] Properties view section generation";"Polarsys";"Kitalpha";"AF and VP";"All";"All";"RESOLVED";"FIXED";"P2";"major"
"555957";"Integration of RichText in ComponentSample Example";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"555958";"[VPUI] Integration Richtext type in vpui dsl";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"555959";"The configuration tab of ViewpointView is not always in sync with the selection";"Polarsys";"Kitalpha";"AF and VP";"PC";"Linux";"RESOLVED";"FIXED";"P3";"enhancement"
"555960";"[VPDSL] Add support for eOpposite - Reporting from 1.1.1";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"555961";"NPE when using Capella as target application";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"WORKSFORME";"P3";"blocker"
"555962";"[VPDSL] Add support for Sirius Decorators";"Polarsys";"Kitalpha";"AF and VP";"All";"All";"RESOLVED";"FIXED";"P3";"enhancement"
"555963";"Improve capella generation";"Polarsys";"Kitalpha";"AF and VP";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"555964";"[Detachment] Invalide iterator at traversing the list of resources";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"normal"
"555965";"[Viewpoint] Generated Activity Explorer pages of viewpoint are available for all editor";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"normal"
"555967";"[VPDiagram] Open action precondition is saved in the vpdesc model with "" characters";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"critical"
"555968";"Lock problem for modification made outside editor";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P4";"normal"
"555969";"Kitalpha has too long path and plugins are not packaged as jar";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"555970";"[Viewpoint] Problem on meta-model activation when 2+ viewpoints enable the same meta-model";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"major"
"555971";"NPE while activate a viewpoint with a missing dependency";"Polarsys";"Kitalpha";"AF and VP";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"555972";"[VPDSL Generator] Require bundles are generated many time in bundle manifests";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"critical"
"555973";"UI - Duplicated properties tabs";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"555974";"Additional quotes for Java preconditions of OpenActions in diagram DSL";"Polarsys";"Kitalpha";"AF and VP";"PC";"All";"RESOLVED";"DUPLICATE";"P3";"major"
"555975";"[VPDSL] add support for aql";"Polarsys";"Kitalpha";"AF and VP";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"555977";"[VPDSL] Impossible to define eOpposite between simple reference";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"555978";"Activity Explorer does not display pages defined in the viewpoint";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"555980";"[VPDSL - Activity Explorer] Automatic completion does not work on icons";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"555981";"[Diagram] Viewpoint DSL Generator does not set some attribute in Odesign";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"555982";"[VPDSL - Diagram] Fix Mixed AQL expressions";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"555983";"[AF] generate and package does not work";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"555984";"[VPDSL - Diagram] Template generate twice action for the same element";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"CLOSED";"FIXED";"P3";"enhancement"
"555985";"[VPDSL] NPE Thrown while validation";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"555986";"[AD] Unwanted notifications if .amf file does not exist.";"Polarsys";"Kitalpha";"AF and VP";"PC";"Mac OS X";"RESOLVED";"FIXED";"P3";"blocker"
"555988";"CCE when cast to Metadata with vpms and pvmt addons installed in capella";"Polarsys";"Kitalpha";"AF and VP";"All";"All";"RESOLVED";"FIXED";"P3";"normal"
"555989";"[afm] disable cycle detection";"Polarsys";"Kitalpha";"AF and VP";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"normal"
"555992";"Mac OS version";"Polarsys";"Kitalpha";"Build";"Macintosh";"Mac OS X";"RESOLVED";"FIXED";"P3";"enhancement"
"555993";"The Kitalpha zip name must contain the word ""incubation""";"Polarsys";"Kitalpha";"Build";"PC";"Windows 10";"VERIFIED";"FIXED";"P3";"enhancement"
"555997";"Fix examples job";"Polarsys";"Kitalpha";"Build";"PC";"Windows 10";"RESOLVED";"FIXED";"P4";"normal"
"556001";"[FCore] Emde generation on generics-typed elements leads to uncompilable code";"Polarsys";"Kitalpha";"Build";"All";"All";"RESOLVED";"FIXED";"P3";"critical"
"556002";"branding is incomplete";"Polarsys";"Kitalpha";"Build";"PC";"Windows 10";"RESOLVED";"FIXED";"P4";"normal"
"556003";"refactor features to fix runtime feature";"Polarsys";"Kitalpha";"Build";"PC";"Linux";"RESOLVED";"FIXED";"P3";"enhancement"
"556004";"Unable to open Capella Studio on Windows 64bits";"Polarsys";"Kitalpha";"Build";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"556005";"Prepare version and splashscreen for 1.0.0";"Polarsys";"Kitalpha";"Build";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"556007";"some plugins are unpacked";"Polarsys";"Kitalpha";"Build";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"minor"
"556008";"emde features are messy";"Polarsys";"Kitalpha";"Build";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"556009";"Add 'ComponentSample' example";"Polarsys";"Kitalpha";"Build";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"556010";"Integration of Diffmerge and Pattern 0.5.1";"Polarsys";"Kitalpha";"Build";"PC";"Linux";"RESOLVED";"FIXED";"P3";"enhancement"
"556011";"Update to Sirius 3.1";"Polarsys";"Kitalpha";"Build";"PC";"Linux";"RESOLVED";"FIXED";"P3";"enhancement"
"556012";"Add 'ComponentSample' example for composer";"Polarsys";"Kitalpha";"Build";"PC";"Linux";"RESOLVED";"FIXED";"P3";"enhancement"
"556013";"Add 'ComponentSample' example for Transposer";"Polarsys";"Kitalpha";"Build";"PC";"Linux";"RESOLVED";"FIXED";"P3";"enhancement"
"556014";"Fix features dependencies";"Polarsys";"Kitalpha";"Build";"PC";"Linux";"RESOLVED";"FIXED";"P3";"enhancement"
"556015";"Update Sirius version to 3.1.2";"Polarsys";"Kitalpha";"Build";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"normal"
"556016";"Add eGit feature to generated platforms";"Polarsys";"Kitalpha";"Build";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"normal"
"556017";"Add source for amalgam components";"Polarsys";"Kitalpha";"Build";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"556018";"Kitalpha executable isn't generated";"Polarsys";"Kitalpha";"Build";"PC";"Mac OS X";"RESOLVED";"FIXED";"P3";"enhancement"
"556019";"Sonar configuration and integration";"Polarsys";"Kitalpha";"Build";"All";"All";"CLOSED";"FIXED";"P3";"enhancement"
"556020";"Add tooling for sonar";"Polarsys";"Kitalpha";"Build";"PC";"Linux";"CLOSED";"FIXED";"P3";"enhancement"
"556021";"Memory Leaks while using Accuracy with OCL";"Polarsys";"Kitalpha";"Build";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"major"
"556022";"Keep juno compatibility";"Polarsys";"Kitalpha";"Build";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"556023";"Add job for rcptt tests";"Polarsys";"Kitalpha";"Build";"PC";"Windows 10";"CLOSED";"FIXED";"P3";"enhancement"
"556024";"Update version to 0.5.3";"Polarsys";"Kitalpha";"Build";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"556025";"Update version to 1.0.1";"Polarsys";"Kitalpha";"Build";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"556026";"Add jacoco analysis";"Polarsys";"Kitalpha";"Build";"PC";"Windows 10";"NEW";;"P3";"enhancement"
"556027";"Improve test execution and code coverage calculation";"Polarsys";"Kitalpha";"Build";"PC";"Linux";"NEW";;"P3";"enhancement"
"556029";"Refactor jobs";"Polarsys";"Kitalpha";"Build";"PC";"Windows 10";"RESOLVED";"DUPLICATE";"P3";"enhancement"
"556030";"Add basic platform test";"Polarsys";"Kitalpha";"Build";"PC";"Linux";"RESOLVED";"FIXED";"P3";"enhancement"
"556034";"Prepare version and splashscreen for 1.1.0";"Polarsys";"Kitalpha";"Build";"PC";"All";"RESOLVED";"FIXED";"P3";"normal"
"556035";"Refactor jobs";"Polarsys";"Kitalpha";"Build";"PC";"Linux";"RESOLVED";"FIXED";"P3";"enhancement"
"556036";"VPDSL decorator [ Unsyncronized ] should be [ Unsynchronized ]";"Polarsys";"Kitalpha";"Build";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"556037";"Upgrade Kitalpha platform from Mars to Neon";"Polarsys";"Kitalpha";"Build";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"normal"
"556038";"fix sonar configuration";"Polarsys";"Kitalpha";"Build";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"normal"
"556041";"Update version to 1.2.0";"Polarsys";"Kitalpha";"Build";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"normal"
"556042";"Update version to 1.1.2";"Polarsys";"Kitalpha";"Build";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"556043";"Remove useless plugins";"Polarsys";"Kitalpha";"Build";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"556044";"Update Sirius in kitalpha master";"Polarsys";"Kitalpha";"Build";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"critical"
"556045";"Update version to 1.1.3";"Polarsys";"Kitalpha";"Build";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"556046";"[Product] Fix product contribution to avoid validation error at launching runtime";"Polarsys";"Kitalpha";"Build";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"556047";"Update version to 1.1.4";"Polarsys";"Kitalpha";"Build";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"556048";"set version to 1.1.5";"Polarsys";"Kitalpha";"Build";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"556049";"move to oxygen";"Polarsys";"Kitalpha";"Build";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"556050";"set version to 1.3.0";"Polarsys";"Kitalpha";"Build";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"556051";"Display version of kitalpha in about dialog";"Polarsys";"Kitalpha";"Build";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"blocker"
"556052";"Adding NOTICE, CONTRIBUTING and LICENSE files the git repository";"Polarsys";"Kitalpha";"Build";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"556054";"update version to 1.3.1";"Polarsys";"Kitalpha";"Build";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"556055";"move to 2019-03";"Polarsys";"Kitalpha";"Build";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"556056";"AQL is missing";"Polarsys";"Kitalpha";"Build";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"normal"
"556057";"move to eclipse 2019-06";"Polarsys";"Kitalpha";"Build";"PC";"Linux";"CLOSED";"FIXED";"P3";"enhancement"
"556058";"Publication error in Kitalpha 1.3.x build job";"Polarsys";"Kitalpha";"Build";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"556059";"SVG images in the Help section are sometimes not displayed";"Polarsys";"Kitalpha";"Build";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"556060";"Fix endline encoding in all repository files";"Polarsys";"Kitalpha";"Build";"PC";"Linux";"NEW";;"P3";"normal"
"556062";"Add feedback at launching detachment";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"556063";"OutOfMemory Exception on a big models";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"556064";"Detachment button is discret";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"FIXED";"P5";"enhancement"
"556065";"model extension with multiple inheritance does not work";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"FIXED";"P4";"normal"
"556066";"Property Sections are duplicated";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"FIXED";"P4";"normal"
"556067";"fix accuracy example";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"FIXED";"P4";"normal"
"556068";"fix composer example";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"FIXED";"P4";"normal"
"556070";"Invalid Proxy URI after unloading a Resource";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"556071";"eMDE generation does not handle non-eMDE models as expected";"Polarsys";"Kitalpha";"CTK";"PC";"Linux";"RESOLVED";"FIXED";"P3";"enhancement"
"556072";"EGF eMDE Generation doesn't work for EMF Model without eMDE features";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"DUPLICATE";"P3";"enhancement"
"556073";"Private attribute in Transposer extension point is not initialized.";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"556074";"[CTK-CTK/Doc] Fix for Eclipse Mars release";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"556075";"[Detach] Accessibility of Detachment menu";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"556077";"[EMDE] Contextual Explorer eMDE filter contribution";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"556078";"encoded paths at the execution of preconditions";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"normal"
"556079";"[Detach] Troubleshoot in the deactivation of detachment menu";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"556080";"fix example installers";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"556081";"GenerationChain tooling fails when multiple genmodel exists in workspace";"Polarsys";"Kitalpha";"CTK";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"556083";"Validate eMDE Menu is always present in ecore editor";"Polarsys";"Kitalpha";"CTK";"PC";"Linux";"RESOLVED";"FIXED";"P3";"minor"
"556084";"[Detachment] Detachment Menu appear when the session is opened";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"minor"
"556085";"[Detachment] Creation of URI with a fragment faild";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"556086";"[detachment] Resource detachment not delete resources";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"normal"
"556087";"[Transposer] Invalid qualified name IRule interface in MappingPossibility contribution";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"normal"
"556088";"[Detachment] Cross Reference not cleaned";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"normal"
"556089";"[TRANSPOSER] The order in which elements are transformed by transposer is not consistent";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"blocker"
"556090";"Fix ClassCastException";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"normal"
"556091";"add tests for eMDE componant";"Polarsys";"Kitalpha";"CTK";"PC";"Linux";"RESOLVED";"FIXED";"P3";"enhancement"
"556092";"Cannot detach in some case";"Polarsys";"Kitalpha";"CTK";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"556093";"detachment is incomplete";"Polarsys";"Kitalpha";"CTK";"PC";"Linux";"RESOLVED";"DUPLICATE";"P3";"normal"
"556095";"Model Detachment is incomplete on 0.5.x";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"normal"
"556096";"[Resource Reuse] Sharing EmfScheme component of ResourceReuse";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"556097";"[Detachement] Enhance detachment menu apparition";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"556098";"[Accuracy]Allow Accuracy to give a more precise diagnostic.";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"556099";"[Kitalpha-Addon] Sharing Introspector sources";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"556100";"[Detachment] Viewpoint Detachment with Sirius Layer";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"major"
"556101";"[EMFScheme] Rework menu of loading resource by emfscheme";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"556102";"Fix detachment on aird";"Polarsys";"Kitalpha";"CTK";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"556103";"[EMFScheme] loading API delegating is not coherent";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"NEW";;"P3";"normal"
"556104";"Performance issues using ViewpointContribution with AFM";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"FIXED";"P1";"major"
"556105";"[Model Reuse]Allow ResourceSearchView to drag resources";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"556106";"[Detachment] Change message of dialog before performing the Detachment";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"556107";"[resource reuse] tags are not parsed as expected";"Polarsys";"Kitalpha";"CTK";"PC";"Linux";"RESOLVED";"FIXED";"P3";"normal"
"556108";"Throw NPE during unreference Viewpoint";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"normal"
"556109";"Modelreuse ignores white spaces";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"enhancement"
"556110";"[Detachment] Cycles can occur at computing viewpoints hierarchies";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"major"
"556112";"[Detachment] Diagram Refresh is not complete";"Polarsys";"Kitalpha";"CTK";"PC";"Windows 10";"RESOLVED";"FIXED";"P3";"major"
